運勢,和歌／漢詩,現代語訳,願望,待人,失物,旅行,商売,学問,争事,恋愛,転居,病気
吉,笹の葉の 細き節目も 積もりては 高く伸びゆく 力あるかな,笹のように、少しずつ着実に成長していく,叶う,来る,おそらく見つかる,吉,順調,努力実る,不利,良好,良い,回復の兆し
吉,朝日さす 岩間の水の 清らかに 澄みて流るる 今日の光かな,岩間の清水のように、清らかに物事が進む,叶う見込みあり,来る,いずれ見つかる,問題なし,安定,上達する,争わぬが吉,焦らず進めよ,吉,快方に向かう
吉,清風明月 無求自得,清らかな風と明るい月は、求めずとも自ずから得られる,努力次第,来る,見つかる,吉,順調,上達する,不利,良縁あり,吉,回復する
吉,野辺の道 蓬を分けて 進むとも 道は開くる 心強かれ,道が険しくても、必ず開けていく,時間かかるが叶う,来る,おそらく見つかる,吉,順調,努力実る,不利,良好,良い,回復の兆し
吉,月影の 照らす浜辺の 白き砂 心も清く 澄みわたるかな,月明かりの浜辺のように、心も清らかに澄む,叶う見込みあり,来る,いずれ見つかる,問題なし,安定,上達する,争わぬが吉,焦らず進めよ,吉,快方に向かう
吉,雲去雲來 行雲流水,雲は去り雲は来り、雲の行くように水は流れる,努力次第,待てば来る,見つかる,吉,順調,進歩する,和解に向かう,徐々に進展,良い,回復する
吉,谷川の 小石打ち越し 流るれば 道は開くる たゆまず進め,小石も乗り越える川のように、障害を乗り越えて進む,叶う,来る,おそらく見つかる,吉,順調,努力実る,不利,良好,良い,回復の兆し
吉,夏の山 深き緑に 包まれて 心も爽やか 澄み渡るかな,夏山の緑のように、心も爽やかに澄み渡る,叶う見込みあり,来る,いずれ見つかる,問題なし,安定,上達する,争わぬが吉,焦らず進めよ,吉,快方に向かう
吉,平安喜樂 福祿綿長,平安で喜びに満ち、福禄が長く続く,努力次第,来る,見つかる,吉,順調,上達する,不利,良縁あり,吉,回復する
吉,山高くも 谷は深きを 忘れずに 着実に歩め 道は開くる,山あり谷ありでも、着実に歩めば道は開ける,時間かかるが叶う,来る,おそらく見つかる,吉,順調,努力実る,不利,良好,良い,回復の兆し
吉,水澄みて 月影宿す 池の面 心も静かに 澄み渡るかな,月を映す池のように、心も静かに澄み渡る,叶う見込みあり,来る,いずれ見つかる,問題なし,安定,上達する,争わぬが吉,焦らず進めよ,吉,快方に向かう
半吉,曇り空に 時折射す光 待つ心 忍耐強くば 道は開くる,曇天の合間に差す光のように、待てば道は開ける,半ば叶う,来るが遅れる,一部見つかる,やや注意,まずまず,平凡,譲歩必要,互いの努力が必要,良い時期を選べ,長引くが回復
半吉,風雲変幻 難測吉凶,風と雲は変化に富み、吉凶を測りがたい,時間がかかる,期待薄,難しい,準備必要,普通,忍耐必要,慎重に,進展遅い,吉凶混在,注意が必要
半吉,夏の日の 暑さを経ずば 秋の実の 甘き味わい 知らざるべし,苦労を経なければ、真の喜びは得られない,叶うかもしれぬ,来るかもしれぬ,見つかるかも,普通,普通,努力必要,注意必要,一進一退,良い時期を選べ,やや長引く
半吉,雲散ずれば 月の光も 見えるなり 忍耐強くば 道は開くる,雲が散れば月が見えるように、辛抱すれば道は開ける,時間がかかる,期待薄,難しい,準備必要,普通,忍耐必要,慎重に,進展遅い,吉凶混在,注意が必要
半吉,順風逆風 各有其時,順風も逆風も、それぞれ時がある,半ば叶う,来るが遅れる,一部見つかる,やや注意,まずまず,平凡,譲歩必要,互いの努力が必要,良い時期を選べ,長引くが回復
小吉,小雨降る 庭の若草 萌え出でて 忍耐の後に 芽は出るものぞ,小雨の後に芽が出るように、忍耐の後に成果がある,叶うが時間がかかる,待てば来る,探せば見つかる,普通,努力次第,努力必要,忍耐必要,時間かかる,問題なし,やがて良くなる
小吉,微雨潤物 春風和氣,微かな雨が物を潤し、春風が和やかな気をもたらす,努力次第で叶う,遅れて来る,見つかる可能性あり,普通,努力次第,基礎から学べ,譲歩せよ,互いの理解が必要,時期を選べ,徐々に回復
小吉,朝霧の 晴れ行く空に 日は昇る 忍耐の後に 運は開くる,朝霧が晴れるように、忍耐の後に運は開ける,叶うが時間がかかる,待てば来る,探せば見つかる,普通,努力次第,努力必要,忍耐必要,時間かかる,問題なし,やがて良くなる
小吉,細流匯海 積塵成山,小さな流れも海に注ぎ、積もった塵も山となる,努力次第で叶う,遅れて来る,見つかる可能性あり,普通,努力次第,基礎から学べ,譲歩せよ,互いの理解が必要,時期を選べ,徐々に回復
末小吉,荒海に 小舟漕ぎ出す 心して 波風激しく なりぬべきかな,荒海の小舟のように、困難が予想される,諦めるべきか,来ない,見つからない,延期せよ,注意が必要,忍耐必要,避けよ,成就せず,凶,長引く
末小吉,暗雲低垂 風雨欲來,暗い雲が垂れ込め、風雨が来ようとしている,難しい,期待薄,見つけ難い,控えるべし,不調,成果出難い,不利,障害多し,延期すべし,長引く
末小吉,峠道 登りつめずば 見えぬなり 彼方に広がる 麗しき景色,困難を乗り越えなければ、良い景色は見えない,困難が多い,期待せぬが良い,あきらめよ,延期が吉,苦労する,努力必要,不利,実らず,時期を待て,長引く
末吉,木の葉散る 秋の夕暮れ 寂しさを 耐え忍びてこそ 春は来るなれ,辛い時も耐え忍べば、必ず良い時が来る,今は叶わず,遅れる,見つからず,控えよ,不振,報われず,不利,障害多し,凶,回復遅い
末吉,風煙争色 雲霧閉途,風と煙が色を争い、雲と霧が道を閉ざす,困難,来ず,見つからず,危険,難しい,成果出ず,避けよ,実らず,凶,長引く
末吉,嵐過ぎて 空晴れ渡る 時を待て 忍耐強くば 道は開くる,嵐の後には必ず晴れる、時を待つべし,時が来るまで待て,期待薄,諦めよ,控えよ,時期尚早,今は努力のみ,不利,進展なし,延期せよ,回復に時間
末吉,秋の夜の 長き闇路を 歩むとも 明けぬ夜なくて 春はくるなり,長い暗闇も必ず明ける、春は必ず来る,今は叶わず,諦めよ,見つからず,危険,不調,実らず,避けよ,成就せず,凶,注意必要
末吉,坎坷難行 曲折多艱,道は険しく歩み難く、曲折して艱難が多い,難しい,来ず,見つからず,凶,困難,成果出ず,不利,障害多し,控えよ,長引く
末吉,冬の日の 寒さに耐えて 梅の花 春を待ちつつ 咲く心かな,厳しい状況に耐え、時が来るのを待つべし,叶い難し,来ない,諦めよ,控えよ,不振,実らず,不利,障害多し,凶,長引く
凶,嵐吹く 冬の寒さに 木枯らし 心も凍える 日々が続かん,困難な状況が続き、心も凍えるような苦しみ,叶わず,来ず,見つからず,凶,損失あり,挫折,敗れる,破局,大凶,悪化の恐れ
凶,疾風暴雨 怒濤洶湧,激しい風と豪雨、荒れ狂う波のように困難が押し寄せる,絶望的,来ない,永遠に失う,危険,大損失,失敗,大敗,破綻,最悪,重篤化
凶,暗き夜に 道を失いて 迷うなり 灯火も見えず 行き先知らず,方向を見失い、どこへ進むべきか分からない,叶わず,来ない,永遠に失う,中止すべし,大損,挫折,敗北,別れ,凶,悪化
凶,冬来りて 春遠ざかる 心地して 希望の光 見えず佇む,冬が来て春が遠ざかるように、希望が見えない,望み薄し,諦めよ,見つからず,中止せよ,失敗,努力報われず,負ける,実らず,大凶,長引く
凶,山崩雲散 前途茫々,山は崩れ雲は散り、前途は茫々として見通しが立たない,絶望的,絶対来ず,永遠に失う,中止,大損失,失敗,大敗,破局,大凶,重篤
凶,暗き洞穴 光見えずに 佇めども 出口の在処 さだかならず,暗い洞窟の中で出口が見えないように、行き詰まる,叶わず,来ない,永遠に失う,大凶,失敗,挫折,敗れる,別れ,凶,悪化
凶,峠道 登りつめども 暗雲が 空を覆いて 晴れ間見えず,頑張っても暗雲が立ち込め、晴れ間が見えない,叶わず,来ない,見つからず,危険,損失,失敗,敗北,破綻,最悪,回復困難
凶,風摧雲散 雷走電激,風が雲を砕き散らし、雷と稲妻が激しく走る,絶望的,期待無用,永遠に失う,中止,破産,失敗,大敗,破局,大凶,危篤
凶,難路行く 足元すくい 倒るれば 起き上がる力 残りて無きか,困難な道で倒れ、起き上がる力も残っていない,諦めよ,来ず,諦めよ,延期,失敗,挫折,敗北,絶望,凶,悪い
凶,暗雲垂れ 雨に打たれて 野に佇む 避難の場所も 見つからぬかな,雨に打たれ、避難場所も見つからない窮状,叶わず,期待無用,失う,中止,損失,成果出ず,敗北,破綻,凶,悪化
凶,烏雲蔽日 狂風怒號,黒い雲が太陽を覆い、狂った風が怒号する,絶望的,来ない,永遠に失う,中止,破産,失敗,大敗,破局,大凶,危篤
凶,冬の日の 寒さの中に 立ち尽くし 春の訪れを 待てども来たらず,寒さの中に立ちつくし、春が来るのを待っても来ない,諦めよ,期待無用,永遠に失う,中止,失敗,挫折,敗北,別れ,凶,悪化
凶,嵐過ぎて 残るは荒地 草も木も 根こそぎになり 生気失せたり,嵐の後に残る荒れ地のように、希望が失せる,望み薄し,諦めよ,見つからず,中止せよ,失敗,努力報われず,負ける,実らず,大凶,長引く
凶,地崩山摧 花殘月缺,地は崩れ山は砕け、花は散り月は欠ける,絶望的,絶対来ず,永遠に失う,中止,大損失,失敗,大敗,破局,大凶,重篤
凶,暗き夜道 月も星も見えず 彷徨えば 足元の石に 躓き倒るる,暗闇で道を見失い、躓いて倒れる,叶わず,来ない,永遠に失う,大凶,失敗,挫折,敗れる,別れ,凶,悪化
凶,秋の夜の 長き闇路に 迷い入り 明かりの在処 知る由もなし,長い秋の夜に迷い、光が見つからない,叶わず,来ない,見つからず,危険,損失,失敗,敗北,破綻,最悪,回復困難
凶,波濤洶湧 電閃雷鳴,波が激しく打ち寄せ、稲妻が光り雷が鳴る,絶望的,期待無用,永遠に失う,中止,破産,失敗,大敗,破局,大凶,危篤
凶,雪降りて 道も隠れて 迷うなり 心細さに 涙こぼるる,雪で道が隠れ、迷って途方に暮れる,諦めよ,来ず,諦めよ,延期,失敗,挫折,敗北,絶望,凶,悪い
凶,雨降りて 傘も持たねば 濡れ果てて 寒さに震える 身となりぬかな,雨に濡れ、震えるほど寒さに苦しむ,叶わず,期待無用,失う,中止,損失,成果出ず,敗北,破綻,凶,悪化
凶,風飆電激 雨注雲垂,風が激しく吹き荒れ、雷が光り、雨が降り注ぐ,絶望的,来ない,永遠に失う,中止,破産,失敗,大敗,破局,大凶,危篤
凶,荒波に 漕ぐ小舟は 沈みゆく 助けを呼べども 声届かずに,荒波に沈む小舟のように、助けも届かない,諦めよ,期待無用,永遠に失う,中止,失敗,挫折,敗北,別れ,凶,悪化
凶,冬の夜の 嵐にさらさる 旅人は 凍える手足に 涙流すなり,冬の嵐にさらされ、凍えて涙を流す,望み薄し,諦めよ,見つからず,中止せよ,失敗,努力報われず,負ける,実らず,大凶,長引く
凶,驟雨狂風 電閃雷轟,突然の豪雨と狂った風、稲妻が光り雷が轟く,絶望的,絶対来ず,永遠に失う,中止,大損失,失敗,大敗,破局,大凶,重篤
凶,暗き谷に 身を沈めては 出口なく 絶望の淵に 佇むばかりぞ,暗い谷に落ち、出口が見つからず絶望する,叶わず,来ない,永遠に失う,大凶,失敗,挫折,敗れる,別れ,凶,悪化
凶,行き暮れて 宿りを求め さまようも 戸閉ざされて 入るべき家なし,宿を求めてさまよっても、入れる家がない,叶わず,来ない,見つからず,危険,損失,失敗,敗北,破綻,最悪,回復困難
凶,天昏地暗 鬼哭神號,天は昏く地は暗く、鬼が泣き神が号泣する,絶望的,期待無用,永遠に失う,中止,破産,失敗,大敗,破局,大凶,危篤
凶,闇夜行く 道を失いて 立ち止まり 進むに進めず 退くに退けず,暗闇で道を失い、進むことも退くこともできない,諦めよ,来ず,諦めよ,延期,失敗,挫折,敗北,絶望,凶,悪い
凶,暴風雨に 家も崩れて 逃げ惑う 行き場もなくて 途方に暮れる,嵐で家が崩れ、逃げ場も失って途方に暮れる,叶わず,期待無用,失う,中止,損失,成果出ず,敗北,破綻,凶,悪化
凶,風捲殘雲 雷轟電閃,風が残りの雲を巻き上げ、雷が轟き稲妻が光る,絶望的,来ない,永遠に失う,中止,破産,失敗,大敗,破局,大凶,危篤
凶,深き淵に 落ち行く身には 手も差さず 救いの縄も 届かざりけり,深い淵に落ち、救いの手も届かない,絶対叶わず,永遠に来ず,二度と見つからず,大凶,大破産,大失敗,惨敗,破滅,大凶,最悪
